Name,Price
Fresh Vegetables,0.0
Tomatoes (Acidic) (1 kg) : By Himalayan Supervores,160.0
Capsicum (Half kg) : By Himalayan Supervores,80.0
Okra (Half kg) : By Himalayan Supervores,60.0
Cucumber Local (1 kg) : By Himalayan Supervores,130.0
Cucumber Hybrid (1 kg) : By Himalayan Supervores,95.0
Carrot Local(Half kg),114.0
Raddish (1 kg) : By Himalayan Supervores,85.0
Lemon (500 gm),220.0
Garlic peeled (250 gm) : By Himalayan Supervores,140.0
Ginger( peeled) (250 gm),115.0
Long Beans (500 g) : By Himalayan Supervores,125.0
Beet Root (Half Kg) : By Himalayan Supervores,75.0
Spinach (Bunch) : By Himalayan Supervores,50.0
Potato Red Grades (1 kg) : By Himalayan Supervores,90.0
Chilli (1 kg) : By Himalayan Supervores,437.0
Sponge Gourd (500 gm),76.0
Iskus (500 gm),45.0
Regular Vegetables,0.0
Oyester Mushroom (500 gm),160.0
Onion (1 kg),135.0
Brocolli (1 kg),135.0
Brinjal (500 gm),50.0
Special Tofu (200 gm) : By Wellness Health Food Shop,75.0
Tama (350 gm) Glass Jar,250.0
Green Leafy Vegetables,0.0
Green Peas 1Kg-Yogo Fresh-N&H : By Nina & Hager,325.0
Blue Cow Condensed Milk 390 gms : By Home Supplies,195.0
Cow Ghee (500 ml) Bottle : By Wellness Health Food Shop,775.0
Cow Ghee (200 gm) Glass Jar : By Wellness Health Food Shop,375.0
Local Egg by Wellness (10 pcs) : By Wellness Health Food Shop,390.0
Cow Cheese (200 gm) Pkt : By Wellness Health Food Shop,330.0
Ambrosi Parmigiano Reggiano 200Gm,1450.0
Australian Gold Creamy Brie 115Gm,1200.0
Australian Gold Creamy Camembert 115Gm,1200.0
Local Egg by Wellness (30 pcs) : By Wellness Health Food Shop,1170.0
Vitali Le Benfette Mortadella Slice 100G,510.0
Cheese,0.0
Herman Mayonnaise (946 ml),505.0
Chicken,0.0
N&H B/F Chicken Sausage (Green Chilly) (500 gms) : By Nina & Hager,575.0
N&H B/L Chicken Breast (500 gms) : By Nina & Hager,600.0
N&H B/L Chicken Cubes (500 gms) : By Nina & Hager,600.0
N&H Chicken Jumbo Sausage (400 gms) : By Nina & Hager,480.0
N&H Chicken Mince (500 gms) : By Nina & Hager,540.0
N&H Hot Dog Chicken Sausage (Green Chilli) (400 gm) : By Nina & Hager,460.0
N&H Hot Dog Chicken Sausage (400 gms) : By Nina & Hager,460.0
N&H Pet Food Chicken (500 gms) : By Nina & Hager,200.0
N&H Salame Milano (100 gms) : By Nina & Hager,630.0
N&H Spinata Piccante (Chilli Salami) (100 gms) : By Nina & Hager,500.0
N&H B/F Chicken Sausage (500 gms) : By Nina & Hager,575.0
N&H Chicken Liver (400 gms) : By Nina & Hager,170.0
N&H German Bratwurst (BBQ Chicken Sausage) (400 gms) : By Nina & Hager,480.0
N&H Chicken Gizzard (400 gm) : By Nina & Hager,400.0
N&H Boneless Chicken Breast (500 gm) : By Nina & Hager,600.0
N&H Smokey Cheese Sausage Chicken 500Gm : By Nina & Hager,700.0
Betagro Chicken Nuggets 500Gm,1800.0
N&H Smoked Chicken Breast- 1 Kg : By Nina & Hager,1750.0
N&H Chicken Wings 980 gms : By Nina & Hager,999.0
Fish,0.0
Salmon Steak Portion (Norway) 150Gm,595.0
Sicilian Fresh Raw Italian Sausage 400Gm N&H : By Nina & Hager,750.0
Smoked Salmon (Norway) 200Gm,1900.0
N&H Trout Fish (1 kg) : By Nina & Hager,1900.0
N&H Frozen Pangasius Fish Ball 500Gm : By Nina & Hager,1100.0
N&H Shrimp 500Gm : By Nina & Hager,800.0
N&H Medium Prawn 500Gm : By Nina & Hager,1000.0
N&H Large Prawn 500Gm : By Nina & Hager,1075.0
N&H Dry Shrimp 250Gm : By Nina & Hager,2800.0
Frozen Pangasius Fillet 1Kg,900.0
